#size  time  space
100  16  4
110  16  4
120  16  4
130  16  4
140  16  4
150  16  4
160  16  4
170  16  4
180  18  4
190  20  4
200  20  4
210  20  4
220  20  4
230  20  4
240  20  4
250  20  4
260  20  4
270  20  4
280  20  4
290  22  4
300  22  4
310  22  4
320  22  4
330  24  4
340  24  4
350  24  4
360  24  4
370  24  4
380  24  4
390  24  4
400  24  4
410  24  4
420  24  4
430  24  4
440  24  4
450  24  4
460  24  4
470  24  4
480  24  4
490  24  4
500  24  4
510  24  4
520  24  4
530  24  4
540  24  4
550  24  4
560  24  4
570  24  4
580  24  4
590  24  4
600  22  4
610  22  4
620  24  4
630  24  4
640  24  4
650  24  4
660  24  4
670  24  4
680  24  4
690  24  4
700  24  4
710  24  4
720  24  4
730  24  4
740  24  4
750  24  4
760  24  4
770  24  4
780  24  4
790  24  4
800  24  4
810  24  4
820  24  4
830  22  4
840  24  4
850  26  4
860  26  4
870  26  4
880  26  4
890  26  4
900  26  4
910  26  4
920  26  4
930  26  4
940  26  4
950  26  4
960  26  4
970  26  4
980  26  4
990  26  4
1000  26  4
1010  26  4
1020  26  4
1030  26  4
1040  26  4
1050  26  4
1060  26  4
1070  26  4
1080  26  4
1090  26  4
1100  26  4
1110  26  4
1120  26  4
1130  26  4
1140  26  4
1150  26  4
1160  26  4
1170  26  4
1180  26  4
1190  26  4
1200  26  4
1210  26  4
1220  26  4
1230  26  4
1240  26  4
1250  26  4
1260  26  4
1270  26  4
1280  26  4
1290  26  4
1300  26  4
1310  26  4
1320  26  4
1330  26  4
1340  26  4
1350  26  4
1360  26  4
1370  26  4
1380  26  4
1390  26  4
1400  26  4
1410  26  4
1420  26  4
1430  26  4
1440  26  4
1450  26  4
1460  26  4
1470  26  4
1480  26  4
1490  26  4
1500  26  4
1510  26  4
1520  26  4
1530  26  4
1540  26  4
1550  26  4
1560  26  4
1570  26  4
1580  26  4
1590  26  4
1600  26  4
1610  26  4
1620  26  4
1630  26  4
1640  26  4
1650  26  4
1660  26  4
1670  26  4
1680  28  4
1690  28  4
1700  28  4
1710  28  4
1720  28  4
1730  28  4
1740  28  4
1750  28  4
1760  28  4
1770  28  4
1780  28  4
1790  28  4
1800  26  4
1810  26  4
1820  26  4
1830  26  4
1840  26  4
1850  26  4
1860  26  4
1870  26  4
1880  26  4
1890  26  4
1900  26  4
1910  26  4
1920  26  4
1930  26  4
1940  26  4
1950  26  4
1960  26  4
1970  26  4
1980  26  4
1990  26  4
