#size  time  space
100  43  4
110  43  4
120  43  4
130  43  4
140  43  4
150  43  4
160  43  4
170  49  4
180  49  4
190  49  4
200  49  4
210  49  4
220  55  4
230  55  4
240  55  4
250  55  4
260  55  4
270  55  4
280  55  4
290  55  4
300  55  4
310  49  4
320  49  4
330  49  4
340  49  4
350  49  4
360  49  4
370  49  4
380  49  4
390  49  4
400  49  4
410  49  4
420  49  4
430  49  4
440  49  4
450  49  4
460  49  4
470  49  4
480  49  4
490  49  4
500  49  4
510  55  4
520  55  4
530  55  4
540  55  4
550  55  4
560  55  4
570  55  4
580  55  4
590  55  4
600  55  4
610  55  4
620  55  4
630  55  4
640  55  4
650  55  4
660  55  4
670  55  4
680  55  4
690  55  4
700  55  4
710  55  4
720  55  4
730  55  4
740  55  4
750  55  4
760  55  4
770  55  4
780  55  4
790  55  4
800  55  4
810  55  4
820  55  4
830  55  4
840  55  4
850  55  4
860  55  4
870  55  4
880  55  4
890  61  4
900  61  4
910  61  4
920  61  4
930  61  4
940  61  4
950  61  4
960  61  4
970  61  4
980  61  4
990  61  4
1000  61  4
1010  61  4
1020  61  4
1030  61  4
1040  61  4
1050  61  4
1060  55  4
1070  55  4
1080  55  4
1090  55  4
1100  55  4
1110  55  4
1120  55  4
1130  55  4
1140  55  4
1150  55  4
1160  55  4
1170  55  4
1180  61  4
1190  61  4
1200  61  4
1210  61  4
1220  61  4
1230  61  4
1240  61  4
1250  61  4
1260  61  4
1270  61  4
1280  61  4
1290  61  4
1300  61  4
1310  61  4
1320  61  4
1330  61  4
1340  61  4
1350  61  4
1360  61  4
1370  61  4
1380  61  4
1390  61  4
1400  61  4
1410  61  4
1420  61  4
1430  61  4
1440  61  4
1450  61  4
1460  61  4
1470  61  4
1480  61  4
1490  61  4
1500  61  4
1510  61  4
1520  61  4
1530  61  4
1540  61  4
1550  61  4
1560  61  4
1570  61  4
1580  61  4
1590  61  4
1600  61  4
1610  61  4
1620  61  4
1630  61  4
1640  61  4
1650  61  4
1660  61  4
1670  61  4
1680  61  4
1690  61  4
1700  61  4
1710  61  4
1720  61  4
1730  61  4
1740  61  4
1750  61  4
1760  61  4
1770  61  4
1780  61  4
1790  61  4
1800  61  4
1810  61  4
1820  61  4
1830  61  4
1840  61  4
1850  61  4
1860  61  4
1870  61  4
1880  61  4
1890  61  4
1900  61  4
1910  61  4
1920  61  4
1930  61  4
1940  67  4
1950  67  4
1960  67  4
1970  67  4
1980  67  4
1990  67  4
