#size  time  space
100  53  8
110  47  8
120  59  8
130  61  8
140  49  8
150  51  8
160  59  8
170  61  8
180  67  8
190  57  8
200  61  8
210  67  8
220  51  8
230  61  8
240  63  8
250  59  8
260  63  8
270  65  8
280  53  8
290  63  8
300  65  8
310  77  8
320  65  8
330  69  8
340  61  8
350  63  8
360  77  8
370  69  8
380  75  8
390  69  8
400  77  8
410  69  8
420  67  8
430  49  8
440  63  8
450  63  8
460  55  8
470  55  8
480  75  8
490  59  8
500  59  8
510  69  8
520  63  8
530  71  8
540  69  8
550  75  8
560  59  8
570  83  8
580  67  8
590  71  8
600  75  8
610  69  8
620  77  8
630  73  8
640  81  8
650  71  8
660  65  8
670  67  8
680  63  8
690  79  8
700  65  8
710  83  8
720  77  8
730  71  8
740  65  8
750  75  8
760  67  8
770  67  8
780  79  8
790  67  8
800  65  8
810  77  8
820  61  8
830  63  8
840  63  8
850  73  8
860  67  8
870  67  8
880  73  8
890  69  8
900  77  8
910  65  8
920  77  8
930  79  8
940  79  8
950  81  8
960  73  8
970  89  8
980  71  8
990  65  8
1000  73  8
1010  73  8
1020  61  8
1030  69  8
1040  73  8
1050  79  8
1060  71  8
1070  75  8
1080  67  8
1090  79  8
1100  71  8
1110  73  8
1120  71  8
1130  77  8
1140  87  8
1150  85  8
1160  87  8
1170  83  8
1180  83  8
1190  87  8
1200  75  8
1210  75  8
1220  73  8
1230  65  8
1240  85  8
1250  75  8
1260  71  8
1270  89  8
1280  73  8
1290  83  8
1300  73  8
1310  59  8
1320  79  8
1330  83  8
1340  81  8
1350  73  8
1360  91  8
1370  73  8
1380  81  8
1390  91  8
1400  83  8
1410  75  8
1420  89  8
1430  93  8
1440  87  8
1450  91  8
1460  69  8
1470  77  8
1480  75  8
1490  67  8
1500  73  8
1510  93  8
1520  79  8
1530  75  8
1540  83  8
1550  73  8
1560  73  8
1570  83  8
1580  85  8
1590  95  8
1600  81  8
1610  73  8
1620  71  8
1630  89  8
1640  79  8
1650  77  8
1660  87  8
1670  75  8
1680  87  8
1690  77  8
1700  73  8
1710  83  8
1720  85  8
1730  91  8
1740  73  8
1750  71  8
1760  71  8
1770  77  8
1780  81  8
1790  77  8
1800  79  8
1810  83  8
1820  81  8
1830  81  8
1840  83  8
1850  75  8
1860  81  8
1870  77  8
1880  87  8
1890  75  8
1900  85  8
1910  73  8
1920  75  8
1930  85  8
1940  79  8
1950  85  8
1960  85  8
1970  85  8
1980  67  8
1990  89  8
