#size  time  space
100  383  88
110  310  88
120  381  96
130  421  96
140  308  88
150  306  88
160  381  96
170  425  104
180  461  104
190  425  96
200  379  96
210  461  104
220  306  88
230  342  96
240  465  104
250  344  96
260  465  104
270  463  104
280  304  88
290  340  96
300  421  104
310  497  112
320  338  96
330  459  104
340  342  96
350  386  104
360  497  112
370  459  104
380  499  112
390  380  104
400  455  112
410  459  104
420  419  104
430  308  88
440  386  104
450  386  104
460  348  96
470  348  96
480  499  112
490  344  96
500  344  96
510  380  104
520  386  104
530  378  104
540  380  104
550  420  112
560  344  96
570  495  120
580  461  104
590  424  112
600  499  112
610  417  104
620  418  112
630  459  112
640  539  120
650  461  112
660  384  104
670  382  104
680  386  104
690  453  112
700  384  104
710  495  120
720  501  120
730  503  112
740  421  104
750  420  112
760  382  104
770  428  112
780  541  120
790  382  104
800  467  112
810  543  120
820  342  96
830  386  104
840  386  104
850  422  112
860  382  104
870  428  112
880  501  112
890  380  104
900  497  112
910  509  112
920  501  120
930  462  120
940  499  120
950  414  112
960  501  112
970  452  120
980  424  112
990  384  104
1000  501  112
1010  459  112
1020  388  104
1030  380  104
1040  459  112
1050  499  120
1060  503  112
1070  420  112
1080  428  112
1090  541  120
1100  461  112
1110  422  112
1120  424  112
1130  501  120
1140  533  120
1150  535  120
1160  454  120
1170  458  120
1180  495  120
1190  579  128
1200  420  112
1210  420  112
1220  459  112
1230  384  104
1240  456  120
1250  466  120
1260  503  112
1270  577  128
1280  459  112
1290  458  120
1300  422  112
1310  390  104
1320  541  120
1330  537  120
1340  460  120
1350  422  112
1360  533  128
1370  422  112
1380  460  120
1390  575  128
1400  458  120
1410  420  112
1420  535  128
1430  573  128
1440  537  128
1450  575  128
1460  426  112
1470  543  120
1480  466  120
1490  428  112
1500  422  112
1510  531  128
1520  462  120
1530  503  120
1540  495  120
1550  422  112
1560  422  112
1570  495  120
1580  539  128
1590  529  128
1600  460  120
1610  422  112
1620  378  104
1630  498  128
1640  541  120
1650  501  120
1660  537  128
1670  457  112
1680  579  128
1690  501  120
1700  422  112
1710  504  128
1720  539  128
1730  575  128
1740  468  120
1750  424  112
1760  424  112
1770  547  128
1780  539  120
1790  501  120
1800  462  120
1810  458  120
1820  460  120
1830  497  120
1840  495  120
1850  420  112
1860  460  120
1870  464  120
1880  500  128
1890  466  120
1900  502  128
1910  422  112
1920  466  120
1930  581  128
1940  541  120
1950  456  120
1960  535  120
1970  539  128
1980  507  112
1990  498  128
