#size  time  space
100  903  -1600
110  993  -1760
120  1083  -1920
130  1173  -2080
140  1263  -2240
150  1353  -2400
160  1443  -2560
170  1533  -2720
180  1623  -2880
190  1713  -3040
200  1803  -3200
210  1893  -3360
220  1983  -3520
230  2073  -3680
240  2163  -3840
250  2253  -4000
260  2343  -4160
270  2433  -4320
280  2523  -4480
290  2613  -4640
300  2703  -4800
310  2793  -4960
320  2883  -5120
330  2973  -5280
340  3063  -5440
350  3153  -5600
360  3243  -5760
370  3333  -5920
380  3423  -6080
390  3513  -6240
400  3603  -6400
410  3693  -6560
420  3783  -6720
430  3873  -6880
440  3963  -7040
450  4053  -7200
460  4143  -7360
470  4233  -7520
480  4323  -7680
490  4413  -7840
500  4503  -8000
510  4593  -8160
520  4683  -8320
530  4773  -8480
540  4863  -8640
550  4953  -8800
560  5043  -8960
570  5133  -9120
580  5223  -9280
590  5313  -9440
600  5403  -9600
610  5493  -9760
620  5583  -9920
630  5673  -10080
640  5763  -10240
650  5853  -10400
660  5943  -10560
670  6033  -10720
680  6123  -10880
690  6213  -11040
700  6303  -11200
710  6393  -11360
720  6483  -11520
730  6573  -11680
740  6663  -11840
750  6753  -12000
760  6843  -12160
770  6933  -12320
780  7023  -12480
790  7113  -12640
800  7203  -12800
810  7293  -12960
820  7383  -13120
830  7473  -13280
840  7563  -13440
850  7653  -13600
860  7743  -13760
870  7833  -13920
880  7923  -14080
890  8013  -14240
900  8103  -14400
910  8193  -14560
920  8283  -14720
930  8373  -14880
940  8463  -15040
950  8553  -15200
960  8643  -15360
970  8733  -15520
980  8823  -15680
990  8913  -15840
1000  9003  -16000
1010  9093  -16160
1020  9183  -16320
1030  9273  -16480
1040  9363  -16640
1050  9453  -16800
1060  9543  -16960
1070  9633  -17120
1080  9723  -17280
1090  9813  -17440
1100  9903  -17600
1110  9993  -17760
1120  10083  -17920
1130  10173  -18080
1140  10263  -18240
1150  10353  -18400
1160  10443  -18560
1170  10533  -18720
1180  10623  -18880
1190  10713  -19040
1200  10803  -19200
1210  10893  -19360
1220  10983  -19520
1230  11073  -19680
1240  11163  -19840
1250  11253  -20000
1260  11343  -20160
1270  11433  -20320
1280  11523  -20480
1290  11613  -20640
1300  11703  -20800
1310  11793  -20960
1320  11883  -21120
1330  11973  -21280
1340  12063  -21440
1350  12153  -21600
1360  12243  -21760
1370  12333  -21920
1380  12423  -22080
1390  12513  -22240
1400  12603  -22400
1410  12693  -22560
1420  12783  -22720
1430  12873  -22880
1440  12963  -23040
1450  13053  -23200
1460  13143  -23360
1470  13233  -23520
1480  13323  -23680
1490  13413  -23840
1500  13503  -24000
1510  13593  -24160
1520  13683  -24320
1530  13773  -24480
1540  13863  -24640
1550  13953  -24800
1560  14043  -24960
1570  14133  -25120
1580  14223  -25280
1590  14313  -25440
1600  14403  -25600
1610  14493  -25760
1620  14583  -25920
1630  14673  -26080
1640  14763  -26240
1650  14853  -26400
1660  14943  -26560
1670  15033  -26720
1680  15123  -26880
1690  15213  -27040
1700  15303  -27200
1710  15393  -27360
1720  15483  -27520
1730  15573  -27680
1740  15663  -27840
1750  15753  -28000
1760  15843  -28160
1770  15933  -28320
1780  16023  -28480
1790  16113  -28640
1800  16203  -28800
1810  16293  -28960
1820  16383  -29120
1830  16473  -29280
1840  16563  -29440
1850  16653  -29600
1860  16743  -29760
1870  16833  -29920
1880  16923  -30080
1890  17013  -30240
1900  17103  -30400
1910  17193  -30560
1920  17283  -30720
1930  17373  -30880
1940  17463  -31040
1950  17553  -31200
1960  17643  -31360
1970  17733  -31520
1980  17823  -31680
1990  17913  -31840
