#size  time  space
100  3  4
110  3  4
120  3  4
130  3  4
140  3  4
150  3  4
160  3  4
170  3  4
180  3  4
190  3  4
200  3  4
210  3  4
220  3  4
230  3  4
240  3  4
250  3  4
260  3  4
270  3  4
280  3  4
290  3  4
300  3  4
310  3  4
320  3  4
330  3  4
340  3  4
350  3  4
360  3  4
370  3  4
380  3  4
390  3  4
400  3  4
410  3  4
420  3  4
430  3  4
440  3  4
450  3  4
460  3  4
470  3  4
480  3  4
490  3  4
500  3  4
510  3  4
520  3  4
530  3  4
540  3  4
550  3  4
560  3  4
570  3  4
580  3  4
590  3  4
600  3  4
610  3  4
620  3  4
630  3  4
640  3  4
650  3  4
660  3  4
670  3  4
680  3  4
690  3  4
700  3  4
710  3  4
720  3  4
730  3  4
740  3  4
750  3  4
760  3  4
770  3  4
780  3  4
790  3  4
800  3  4
810  3  4
820  3  4
830  3  4
840  3  4
850  3  4
860  3  4
870  3  4
880  3  4
890  3  4
900  3  4
910  3  4
920  3  4
930  3  4
940  3  4
950  3  4
960  3  4
970  3  4
980  3  4
990  3  4
1000  3  4
1010  3  4
1020  3  4
1030  3  4
1040  3  4
1050  3  4
1060  3  4
1070  3  4
1080  3  4
1090  3  4
1100  3  4
1110  3  4
1120  3  4
1130  3  4
1140  3  4
1150  3  4
1160  3  4
1170  3  4
1180  3  4
1190  3  4
1200  3  4
1210  3  4
1220  3  4
1230  3  4
1240  3  4
1250  3  4
1260  3  4
1270  3  4
1280  3  4
1290  3  4
1300  3  4
1310  3  4
1320  3  4
1330  3  4
1340  3  4
1350  3  4
1360  3  4
1370  3  4
1380  3  4
1390  3  4
1400  3  4
1410  3  4
1420  3  4
1430  3  4
1440  3  4
1450  3  4
1460  3  4
1470  3  4
1480  3  4
1490  3  4
1500  3  4
1510  3  4
1520  3  4
1530  3  4
1540  3  4
1550  3  4
1560  3  4
1570  3  4
1580  3  4
1590  3  4
1600  3  4
1610  3  4
1620  3  4
1630  3  4
1640  3  4
1650  3  4
1660  3  4
1670  3  4
1680  3  4
1690  3  4
1700  3  4
1710  3  4
1720  3  4
1730  3  4
1740  3  4
1750  3  4
1760  3  4
1770  3  4
1780  3  4
1790  3  4
1800  3  4
1810  3  4
1820  3  4
1830  3  4
1840  3  4
1850  3  4
1860  3  4
1870  3  4
1880  3  4
1890  3  4
1900  3  4
1910  3  4
1920  3  4
1930  3  4
1940  3  4
1950  3  4
1960  3  4
1970  3  4
1980  3  4
1990  3  4
