#size  time  space
10  27  -8
20  27  -8
30  27  -8
40  27  -8
50  27  -8
60  27  -8
70  27  -8
80  27  -8
90  27  -8
100  27  -8
110  27  -8
120  27  -8
130  27  -8
140  27  -8
150  27  -8
160  27  -8
170  27  -8
180  27  -8
190  27  -8
200  27  -8
210  27  -8
220  27  -8
230  27  -8
240  27  -8
250  27  -8
260  27  -8
270  27  -8
280  27  -8
290  27  -8
300  27  -8
310  27  -8
320  27  -8
330  27  -8
340  27  -8
350  27  -8
360  27  -8
370  27  -8
380  27  -8
390  27  -8
400  27  -8
410  27  -8
420  27  -8
430  27  -8
440  27  -8
450  27  -8
460  27  -8
470  27  -8
480  27  -8
490  27  -8
500  27  -8
510  27  -8
520  27  -8
530  27  -8
540  27  -8
550  27  -8
560  27  -8
570  27  -8
580  27  -8
590  27  -8
600  27  -8
610  27  -8
620  27  -8
630  27  -8
640  27  -8
650  27  -8
660  27  -8
670  27  -8
680  27  -8
690  27  -8
700  27  -8
710  27  -8
720  27  -8
730  27  -8
740  27  -8
750  27  -8
760  27  -8
770  27  -8
780  27  -8
790  27  -8
800  27  -8
810  27  -8
820  27  -8
830  27  -8
840  27  -8
850  27  -8
860  27  -8
870  27  -8
880  27  -8
890  27  -8
900  27  -8
910  27  -8
920  27  -8
930  27  -8
940  27  -8
950  27  -8
960  27  -8
970  27  -8
980  27  -8
990  27  -8
1000  27  -8
