#size  time  space
10  49  -80
20  89  -160
30  129  -240
40  169  -320
50  209  -400
60  249  -480
70  289  -560
80  329  -640
90  369  -720
100  409  -800
110  449  -880
120  489  -960
130  529  -1040
140  569  -1120
150  609  -1200
160  649  -1280
170  689  -1360
180  729  -1440
190  769  -1520
200  809  -1600
210  849  -1680
220  889  -1760
230  929  -1840
240  969  -1920
250  1009  -2000
260  1049  -2080
270  1089  -2160
280  1129  -2240
290  1169  -2320
300  1209  -2400
310  1249  -2480
320  1289  -2560
330  1329  -2640
340  1369  -2720
350  1409  -2800
360  1449  -2880
370  1489  -2960
380  1529  -3040
390  1569  -3120
400  1609  -3200
410  1649  -3280
420  1689  -3360
430  1729  -3440
440  1769  -3520
450  1809  -3600
460  1849  -3680
470  1889  -3760
480  1929  -3840
490  1969  -3920
500  2009  -4000
510  2049  -4080
520  2089  -4160
530  2129  -4240
540  2169  -4320
550  2209  -4400
560  2249  -4480
570  2289  -4560
580  2329  -4640
590  2369  -4720
600  2409  -4800
610  2449  -4880
620  2489  -4960
630  2529  -5040
640  2569  -5120
650  2609  -5200
660  2649  -5280
670  2689  -5360
680  2729  -5440
690  2769  -5520
700  2809  -5600
710  2849  -5680
720  2889  -5760
730  2929  -5840
740  2969  -5920
750  3009  -6000
760  3049  -6080
770  3089  -6160
780  3129  -6240
790  3169  -6320
800  3209  -6400
810  3249  -6480
820  3289  -6560
830  3329  -6640
840  3369  -6720
850  3409  -6800
860  3449  -6880
870  3489  -6960
880  3529  -7040
890  3569  -7120
900  3609  -7200
910  3649  -7280
920  3689  -7360
930  3729  -7440
940  3769  -7520
950  3809  -7600
960  3849  -7680
970  3889  -7760
980  3929  -7840
990  3969  -7920
1000  4009  -8000
