#size  time  space
10  29  8
20  49  8
30  69  8
40  89  8
50  109  8
60  129  8
70  149  8
80  169  8
90  189  8
100  209  8
110  229  8
120  249  8
130  269  8
140  289  8
150  309  8
160  329  8
170  349  8
180  369  8
190  389  8
200  409  8
210  429  8
220  449  8
230  469  8
240  489  8
250  509  8
260  529  8
270  549  8
280  569  8
290  589  8
300  609  8
310  629  8
320  649  8
330  669  8
340  689  8
350  709  8
360  729  8
370  749  8
380  769  8
390  789  8
400  809  8
410  829  8
420  849  8
430  869  8
440  889  8
450  909  8
460  929  8
470  949  8
480  969  8
490  989  8
500  1009  8
510  1029  8
520  1049  8
530  1069  8
540  1089  8
550  1109  8
560  1129  8
570  1149  8
580  1169  8
590  1189  8
600  1209  8
610  1229  8
620  1249  8
630  1269  8
640  1289  8
650  1309  8
660  1329  8
670  1349  8
680  1369  8
690  1389  8
700  1409  8
710  1429  8
720  1449  8
730  1469  8
740  1489  8
750  1509  8
760  1529  8
770  1549  8
780  1569  8
790  1589  8
800  1609  8
810  1629  8
820  1649  8
830  1669  8
840  1689  8
850  1709  8
860  1729  8
870  1749  8
880  1769  8
890  1789  8
900  1809  8
910  1829  8
920  1849  8
930  1869  8
940  1889  8
950  1909  8
960  1929  8
970  1949  8
980  1969  8
990  1989  8
1000  2009  8
