#size  time  space
10  10  8
20  10  8
30  10  8
40  10  8
50  10  8
60  10  8
70  10  8
80  10  8
90  10  8
100  10  8
110  10  8
120  10  8
130  10  8
140  10  8
150  10  8
160  10  8
170  10  8
180  10  8
190  10  8
200  10  8
210  10  8
220  10  8
230  10  8
240  10  8
250  10  8
260  10  8
270  10  8
280  10  8
290  10  8
300  10  8
310  10  8
320  10  8
330  10  8
340  10  8
350  10  8
360  10  8
370  10  8
380  10  8
390  10  8
400  10  8
410  10  8
420  10  8
430  10  8
440  10  8
450  10  8
460  10  8
470  10  8
480  10  8
490  10  8
500  10  8
510  10  8
520  10  8
530  10  8
540  10  8
550  10  8
560  10  8
570  10  8
580  10  8
590  10  8
600  10  8
610  10  8
620  10  8
630  10  8
640  10  8
650  10  8
660  10  8
670  10  8
680  10  8
690  10  8
700  10  8
710  10  8
720  10  8
730  10  8
740  10  8
750  10  8
760  10  8
770  10  8
780  10  8
790  10  8
800  10  8
810  10  8
820  10  8
830  10  8
840  10  8
850  10  8
860  10  8
870  10  8
880  10  8
890  10  8
900  10  8
910  10  8
920  10  8
930  10  8
940  10  8
950  10  8
960  10  8
970  10  8
980  10  8
990  10  8
1000  10  8
