#size  time  space
10  3  4
20  3  4
30  3  4
40  3  4
50  3  4
60  3  4
70  3  4
80  3  4
90  3  4
100  3  4
110  3  4
120  3  4
130  3  4
140  3  4
150  3  4
160  3  4
170  3  4
180  3  4
190  3  4
200  3  4
210  3  4
220  3  4
230  3  4
240  3  4
250  3  4
260  3  4
270  3  4
280  3  4
290  3  4
300  3  4
310  3  4
320  3  4
330  3  4
340  3  4
350  3  4
360  3  4
370  3  4
380  3  4
390  3  4
400  3  4
410  3  4
420  3  4
430  3  4
440  3  4
450  3  4
460  3  4
470  3  4
480  3  4
490  3  4
500  3  4
510  3  4
520  3  4
530  3  4
540  3  4
550  3  4
560  3  4
570  3  4
580  3  4
590  3  4
600  3  4
610  3  4
620  3  4
630  3  4
640  3  4
650  3  4
660  3  4
670  3  4
680  3  4
690  3  4
700  3  4
710  3  4
720  3  4
730  3  4
740  3  4
750  3  4
760  3  4
770  3  4
780  3  4
790  3  4
800  3  4
810  3  4
820  3  4
830  3  4
840  3  4
850  3  4
860  3  4
870  3  4
880  3  4
890  3  4
900  3  4
910  3  4
920  3  4
930  3  4
940  3  4
950  3  4
960  3  4
970  3  4
980  3  4
990  3  4
1000  3  4
