#size  time  space
10  2  4
20  2  4
30  2  4
40  2  4
50  2  4
60  2  4
70  2  4
80  2  4
90  2  4
100  2  4
110  2  4
120  2  4
130  2  4
140  2  4
150  2  4
160  2  4
170  2  4
180  2  4
190  2  4
200  2  4
210  2  4
220  2  4
230  2  4
240  2  4
250  2  4
260  2  4
270  2  4
280  2  4
290  2  4
300  2  4
310  2  4
320  2  4
330  2  4
340  2  4
350  2  4
360  2  4
370  2  4
380  2  4
390  2  4
400  2  4
410  2  4
420  2  4
430  2  4
440  2  4
450  2  4
460  2  4
470  2  4
480  2  4
490  2  4
500  2  4
510  2  4
520  2  4
530  2  4
540  2  4
550  2  4
560  2  4
570  2  4
580  2  4
590  2  4
600  2  4
610  2  4
620  2  4
630  2  4
640  2  4
650  2  4
660  2  4
670  2  4
680  2  4
690  2  4
700  2  4
710  2  4
720  2  4
730  2  4
740  2  4
750  2  4
760  2  4
770  2  4
780  2  4
790  2  4
800  2  4
810  2  4
820  2  4
830  2  4
840  2  4
850  2  4
860  2  4
870  2  4
880  2  4
890  2  4
900  2  4
910  2  4
920  2  4
930  2  4
940  2  4
950  2  4
960  2  4
970  2  4
980  2  4
990  2  4
1000  2  4
