#size  time  space
10  14  20
20  14  20
30  14  20
40  14  20
50  14  20
60  14  20
70  14  20
80  14  20
90  14  20
100  14  20
110  14  20
120  14  20
130  14  20
140  14  20
150  14  20
160  14  20
170  14  20
180  14  20
190  14  20
200  14  20
210  14  20
220  14  20
230  14  20
240  14  20
250  14  20
260  14  20
270  14  20
280  14  20
290  14  20
300  14  20
310  14  20
320  14  20
330  14  20
340  14  20
350  14  20
360  14  20
370  14  20
380  14  20
390  14  20
400  14  20
410  14  20
420  14  20
430  14  20
440  14  20
450  14  20
460  14  20
470  14  20
480  14  20
490  14  20
500  14  20
510  14  20
520  14  20
530  14  20
540  14  20
550  14  20
560  14  20
570  14  20
580  14  20
590  14  20
600  14  20
610  14  20
620  14  20
630  14  20
640  14  20
650  14  20
660  14  20
670  14  20
680  14  20
690  14  20
700  14  20
710  14  20
720  14  20
730  14  20
740  14  20
750  14  20
760  14  20
770  14  20
780  14  20
790  14  20
800  14  20
810  14  20
820  14  20
830  14  20
840  14  20
850  14  20
860  14  20
870  14  20
880  14  20
890  14  20
900  14  20
910  14  20
920  14  20
930  14  20
940  14  20
950  14  20
960  14  20
970  14  20
980  14  20
990  14  20
1000  14  20
