#size  time  space
10  4  4
20  4  4
30  4  4
40  4  4
50  4  4
60  4  4
70  4  4
80  4  4
90  4  4
100  4  4
110  4  4
120  4  4
130  4  4
140  4  4
150  4  4
160  4  4
170  4  4
180  4  4
190  4  4
200  4  4
210  4  4
220  4  4
230  4  4
240  4  4
250  4  4
260  4  4
270  4  4
280  4  4
290  4  4
300  4  4
310  4  4
320  4  4
330  4  4
340  4  4
350  4  4
360  4  4
370  4  4
380  4  4
390  4  4
400  4  4
410  4  4
420  4  4
430  4  4
440  4  4
450  4  4
460  4  4
470  4  4
480  4  4
490  4  4
500  4  4
510  4  4
520  4  4
530  4  4
540  4  4
550  4  4
560  4  4
570  4  4
580  4  4
590  4  4
600  4  4
610  4  4
620  4  4
630  4  4
640  4  4
650  4  4
660  4  4
670  4  4
680  4  4
690  4  4
700  4  4
710  4  4
720  4  4
730  4  4
740  4  4
750  4  4
760  4  4
770  4  4
780  4  4
790  4  4
800  4  4
810  4  4
820  4  4
830  4  4
840  4  4
850  4  4
860  4  4
870  4  4
880  4  4
890  4  4
900  4  4
910  4  4
920  4  4
930  4  4
940  4  4
950  4  4
960  4  4
970  4  4
980  4  4
990  4  4
1000  4  4
