#size  time  space
10  4  8
20  4  8
30  4  8
40  4  8
50  4  8
60  4  8
70  4  8
80  4  8
90  4  8
100  4  8
110  4  8
120  4  8
130  4  8
140  4  8
150  4  8
160  4  8
170  4  8
180  4  8
190  4  8
200  4  8
210  4  8
220  4  8
230  4  8
240  4  8
250  4  8
260  4  8
270  4  8
280  4  8
290  4  8
300  4  8
310  4  8
320  4  8
330  4  8
340  4  8
350  4  8
360  4  8
370  4  8
380  4  8
390  4  8
400  4  8
410  4  8
420  4  8
430  4  8
440  4  8
450  4  8
460  4  8
470  4  8
480  4  8
490  4  8
500  4  8
510  4  8
520  4  8
530  4  8
540  4  8
550  4  8
560  4  8
570  4  8
580  4  8
590  4  8
600  4  8
610  4  8
620  4  8
630  4  8
640  4  8
650  4  8
660  4  8
670  4  8
680  4  8
690  4  8
700  4  8
710  4  8
720  4  8
730  4  8
740  4  8
750  4  8
760  4  8
770  4  8
780  4  8
790  4  8
800  4  8
810  4  8
820  4  8
830  4  8
840  4  8
850  4  8
860  4  8
870  4  8
880  4  8
890  4  8
900  4  8
910  4  8
920  4  8
930  4  8
940  4  8
950  4  8
960  4  8
970  4  8
980  4  8
990  4  8
1000  4  8
