#size  time  space
10  59  -72
20  99  -152
30  139  -232
40  179  -312
50  219  -392
60  259  -472
70  299  -552
80  339  -632
90  379  -712
100  419  -792
110  459  -872
120  499  -952
130  539  -1032
140  579  -1112
150  619  -1192
160  659  -1272
170  699  -1352
180  739  -1432
190  779  -1512
200  819  -1592
210  859  -1672
220  899  -1752
230  939  -1832
240  979  -1912
250  1019  -1992
260  1059  -2072
270  1099  -2152
280  1139  -2232
290  1179  -2312
300  1219  -2392
310  1259  -2472
320  1299  -2552
330  1339  -2632
340  1379  -2712
350  1419  -2792
360  1459  -2872
370  1499  -2952
380  1539  -3032
390  1579  -3112
400  1619  -3192
410  1659  -3272
420  1699  -3352
430  1739  -3432
440  1779  -3512
450  1819  -3592
460  1859  -3672
470  1899  -3752
480  1939  -3832
490  1979  -3912
500  2019  -3992
510  2059  -4072
520  2099  -4152
530  2139  -4232
540  2179  -4312
550  2219  -4392
560  2259  -4472
570  2299  -4552
580  2339  -4632
590  2379  -4712
600  2419  -4792
610  2459  -4872
620  2499  -4952
630  2539  -5032
640  2579  -5112
650  2619  -5192
660  2659  -5272
670  2699  -5352
680  2739  -5432
690  2779  -5512
700  2819  -5592
710  2859  -5672
720  2899  -5752
730  2939  -5832
740  2979  -5912
750  3019  -5992
760  3059  -6072
770  3099  -6152
780  3139  -6232
790  3179  -6312
800  3219  -6392
810  3259  -6472
820  3299  -6552
830  3339  -6632
840  3379  -6712
850  3419  -6792
860  3459  -6872
870  3499  -6952
880  3539  -7032
890  3579  -7112
900  3619  -7192
910  3659  -7272
920  3699  -7352
930  3739  -7432
940  3779  -7512
950  3819  -7592
960  3859  -7672
970  3899  -7752
980  3939  -7832
990  3979  -7912
1000  4019  -7992
