#size  time  space
10  494  20
20  1222  20
30  2019  20
40  2906  20
50  3788  20
60  4823  20
70  5716  20
80  6798  20
90  7929  20
100  9060  20
110  10234  20
120  11197  20
130  12285  20
140  13351  20
150  14677  20
160  15698  20
170  17021  20
180  18292  20
190  19587  20
200  20675  20
210  22005  20
220  23113  20
230  24505  20
240  25709  20
250  26931  20
260  28110  20
270  29529  20
280  30767  20
290  32015  20
300  33529  20
310  34829  20
320  36233  20
330  37776  20
340  39169  20
350  40418  20
360  41766  20
370  43280  20
380  44493  20
390  45661  20
400  47321  20
410  48708  20
420  50104  20
430  51147  20
440  52589  20
450  53999  20
460  55469  20
470  56716  20
480  58208  20
490  59621  20
500  60651  20
510  62145  20
520  63621  20
530  64953  20
540  66629  20
550  68066  20
560  69719  20
570  71127  20
580  72837  20
590  74050  20
600  75472  20
610  77248  20
620  78828  20
630  80203  20
640  81823  20
650  82979  20
660  84537  20
670  85878  20
680  87716  20
690  89185  20
700  90550  20
710  91932  20
720  93520  20
730  95062  20
740  96551  20
750  98082  20
760  99791  20
770  101328  20
780  102588  20
790  104238  20
800  105867  20
810  107443  20
820  109012  20
830  110306  20
840  111958  20
850  113410  20
860  114791  20
870  116435  20
880  118034  20
890  119663  20
900  120765  20
910  122427  20
920  123934  20
930  125554  20
940  126742  20
950  128378  20
960  129764  20
970  131728  20
980  132829  20
990  134586  20
1000  136072  20
