#size  time  space
10  189  8
20  1117  8
30  2947  8
40  5206  8
50  8455  8
60  12507  8
70  15888  8
80  19951  8
90  25510  8
100  31102  8
110  36551  8
120  44222  8
130  51134  8
140  58453  8
150  66443  8
160  77161  8
170  88154  8
180  97200  8
190  106334  8
200  112861  8
210  125625  8
220  139489  8
230  152121  8
240  163686  8
250  178166  8
260  190644  8
270  207005  8
280  222915  8
290  234469  8
300  248190  8
310  261713  8
320  272915  8
330  288154  8
340  317396  8
350  332932  8
360  358005  8
370  378854  8
380  397822  8
390  420849  8
400  450135  8
410  470720  8
420  494770  8
430  521295  8
440  543519  8
450  560573  8
460  578034  8
470  609476  8
480  639235  8
490  657092  8
500  682913  8
510  712111  8
520  738856  8
530  769231  8
540  798990  8
550  828023  8
560  868661  8
570  906252  8
580  939619  8
590  974086  8
600  1003636  8
610  1036717  8
620  1062362  8
630  1086456  8
640  1124729  8
650  1166049  8
660  1194840  8
670  1233916  8
680  1263895  8
690  1298780  8
700  1337845  8
710  1373654  8
720  1413720  8
730  1448044  8
740  1494996  8
750  1527450  8
760  1564062  8
770  1613489  8
780  1656525  8
790  1701761  8
800  1747954  8
810  1788163  8
820  1820012  8
830  1861948  8
840  1907173  8
850  1947360  8
860  1997271  8
870  2038998  8
880  2085213  8
890  2131736  8
900  2187433  8
910  2225827  8
920  2289708  8
930  2333019  8
940  2378277  8
950  2418013  8
960  2468760  8
970  2512775  8
980  2561377  8
990  2609165  8
1000  2649440  8
