#size  time  space
10  68  8
20  138  8
30  208  8
40  278  8
50  348  8
60  418  8
70  488  8
80  558  8
90  628  8
100  698  8
110  768  8
120  838  8
130  908  8
140  978  8
150  1048  8
160  1118  8
170  1188  8
180  1258  8
190  1328  8
200  1398  8
210  1468  8
220  1538  8
230  1608  8
240  1678  8
250  1748  8
260  1818  8
270  1888  8
280  1958  8
290  2028  8
300  2098  8
310  2168  8
320  2238  8
330  2308  8
340  2378  8
350  2448  8
360  2518  8
370  2588  8
380  2658  8
390  2728  8
400  2798  8
410  2868  8
420  2938  8
430  3008  8
440  3078  8
450  3148  8
460  3218  8
470  3288  8
480  3358  8
490  3428  8
500  3498  8
510  3568  8
520  3638  8
530  3708  8
540  3778  8
550  3848  8
560  3918  8
570  3988  8
580  4058  8
590  4128  8
600  4198  8
610  4268  8
620  4338  8
630  4408  8
640  4478  8
650  4548  8
660  4618  8
670  4688  8
680  4758  8
690  4828  8
700  4898  8
710  4968  8
720  5038  8
730  5108  8
740  5178  8
750  5248  8
760  5318  8
770  5388  8
780  5458  8
790  5528  8
800  5598  8
810  5668  8
820  5738  8
830  5808  8
840  5878  8
850  5948  8
860  6018  8
870  6088  8
880  6158  8
890  6228  8
900  6298  8
910  6368  8
920  6438  8
930  6508  8
940  6578  8
950  6648  8
960  6718  8
970  6788  8
980  6858  8
990  6928  8
1000  6998  8
