#size  time  space
10  563  8
20  2228  8
30  4993  8
40  8858  8
50  13823  8
60  19888  8
70  27053  8
80  35318  8
90  44683  8
100  55148  8
110  66713  8
120  79378  8
130  93143  8
140  108008  8
150  123973  8
160  141038  8
170  159203  8
180  178468  8
190  198833  8
200  220298  8
210  242863  8
220  266528  8
230  291293  8
240  317158  8
250  344123  8
260  372188  8
270  401353  8
280  431618  8
290  462983  8
300  495448  8
310  529013  8
320  563678  8
330  599443  8
340  636308  8
350  674273  8
360  713338  8
370  753503  8
380  794768  8
390  837133  8
400  880598  8
410  925163  8
420  970828  8
430  1017593  8
440  1065458  8
450  1114423  8
460  1164488  8
470  1215653  8
480  1267918  8
490  1321283  8
500  1375748  8
510  1431313  8
520  1487978  8
530  1545743  8
540  1604608  8
550  1664573  8
560  1725638  8
570  1787803  8
580  1851068  8
590  1915433  8
600  1980898  8
610  2047463  8
620  2115128  8
630  2183893  8
640  2253758  8
650  2324723  8
660  2396788  8
670  2469953  8
680  2544218  8
690  2619583  8
700  2696048  8
710  2773613  8
720  2852278  8
730  2932043  8
740  3012908  8
750  3094873  8
760  3177938  8
770  3262103  8
780  3347368  8
790  3433733  8
800  3521198  8
810  3609763  8
820  3699428  8
830  3790193  8
840  3882058  8
850  3975023  8
860  4069088  8
870  4164253  8
880  4260518  8
890  4357883  8
900  4456348  8
910  4555913  8
920  4656578  8
930  4758343  8
940  4861208  8
950  4965173  8
960  5070238  8
970  5176403  8
980  5283668  8
990  5392033  8
1000  5501498  8
