#size  time  space
10  878  132
20  2187  188
30  3652  228
40  5250  284
50  6915  324
60  8575  364
70  10291  420
80  12211  460
90  14071  500
100  15956  540
110  17821  580
120  19706  620
130  21563  676
140  23618  716
150  25763  756
160  27783  796
170  29878  836
180  31918  876
190  33983  916
200  36148  956
210  38168  996
220  40258  1036
230  42373  1076
240  44488  1116
250  46573  1156
260  48607  1212
270  50942  1252
280  53207  1292
290  55492  1332
300  57822  1372
310  60087  1412
320  62302  1452
330  64602  1492
340  66912  1532
350  69152  1572
360  71437  1612
370  73747  1652
380  75987  1692
390  78382  1732
400  80672  1772
410  82867  1812
420  85117  1852
430  87507  1892
440  89797  1932
450  92052  1972
460  94392  2012
470  96642  2052
480  99037  2092
490  101277  2132
500  103607  2172
510  105897  2212
520  108215  2268
530  110660  2308
540  113290  2348
550  115690  2388
560  118170  2428
570  120665  2468
580  123185  2508
590  125640  2548
600  128170  2588
610  130675  2628
620  133170  2668
630  135655  2708
640  138090  2748
650  140610  2788
660  143115  2828
670  145660  2868
680  148075  2908
690  150600  2948
700  153060  2988
710  155495  3028
720  158030  3068
730  160550  3108
740  163065  3148
750  165450  3188
760  168090  3228
770  170590  3268
780  173110  3308
790  175535  3348
800  178200  3388
810  180520  3428
820  183020  3468
830  185615  3508
840  188010  3548
850  190640  3588
860  193200  3628
870  195540  3668
880  198105  3708
890  200670  3748
900  203080  3788
910  205675  3828
920  208175  3868
930  210655  3908
940  213105  3948
950  215710  3988
960  218280  4028
970  220805  4068
980  223100  4108
990  225610  4148
1000  228235  4188
