#size  time  space
10  356  52
20  862  76
30  1465  88
40  2031  100
50  2553  112
60  3369  100
70  3885  124
80  4357  112
90  5168  136
100  5773  112
110  6525  124
120  6960  124
130  7533  124
140  9043  160
150  9189  136
160  9931  148
170  10616  136
180  11219  136
190  12013  136
200  12298  124
210  13442  148
220  14143  136
230  14869  148
240  15862  160
250  16488  148
260  17081  148
270  18310  172
280  18370  160
290  19311  148
300  20090  172
310  21681  184
320  21366  148
330  22198  160
340  23329  172
350  23817  160
360  24345  160
370  25142  160
380  25539  160
390  26652  148
400  28443  172
410  28901  172
420  30222  208
430  29803  160
440  31183  160
450  31772  172
460  32884  172
470  33164  160
480  34055  172
490  36270  208
500  35429  172
510  36338  172
520  39534  196
530  38387  196
540  39109  184
550  39624  184
560  40384  172
570  42367  208
580  42005  196
590  42854  184
600  44619  232
610  45533  196
620  44961  184
630  46027  184
640  46367  184
650  48434  196
660  48181  184
670  50572  184
680  50241  184
690  52732  196
700  52813  196
710  51690  160
720  53111  184
730  54879  196
740  55009  184
750  57247  184
760  56326  184
770  57509  184
780  58059  184
790  62689  208
800  61868  220
810  61733  196
820  63496  208
830  62425  196
840  64983  184
850  63878  184
860  65474  220
870  66002  196
880  65567  172
890  66891  184
900  70153  196
910  70296  184
920  70639  196
930  70885  184
940  72413  184
950  72999  184
960  73452  208
970  74771  232
980  74706  196
990  75651  184
1000  77036  232
