#size  time  space
10  279  8
20  832  8
30  1502  8
40  2254  8
50  3422  8
60  4101  8
70  5046  8
80  6064  8
90  6463  8
100  7990  8
110  8766  8
120  10328  8
130  12846  8
140  13021  8
150  12943  8
160  16862  8
170  14786  8
180  16821  8
190  17937  8
200  20512  8
210  21407  8
220  21793  8
230  23368  8
240  24183  8
250  24958  8
260  30272  8
270  28881  8
280  29618  8
290  32436  8
300  32038  8
310  32139  8
320  43329  8
330  36159  8
340  36579  8
350  37540  8
360  41087  8
370  43448  8
380  42020  8
390  51314  8
400  46383  8
410  47490  8
420  48283  8
430  47583  8
440  48434  8
450  60234  8
460  57807  8
470  54641  8
480  60537  8
490  59933  8
500  60559  8
510  57352  8
520  69670  8
530  70415  8
540  69335  8
550  71550  8
560  70481  8
570  71044  8
580  79455  8
590  74634  8
600  76459  8
610  80208  8
620  77123  8
630  77874  8
640  101398  8
650  94502  8
660  85005  8
670  88294  8
680  91567  8
690  91430  8
700  90017  8
710  102399  8
720  98555  8
730  92258  8
740  98240  8
750  97721  8
760  97803  8
770  145529  8
780  120426  8
790  118439  8
800  117948  8
810  111004  8
820  116578  8
830  114288  8
840  115202  8
850  119172  8
860  115196  8
870  117622  8
880  123664  8
890  121740  8
900  147641  8
910  132143  8
920  131317  8
930  131711  8
940  127139  8
950  134750  8
960  148379  8
970  140265  8
980  135605  8
990  136126  8
1000  144747  8
